Gene,SetType,DiseaseType
1017,drug,Syndrome4
2099,drug,Syndrome4
4988,drug,Syndrome4
6331,drug,Syndrome4
1266,drug,Syndrome4
5743,drug,Syndrome4
367,drug,Syndrome4
10499,drug,Syndrome4
4843,drug,Syndrome4
1803,drug,Syndrome4
4306,drug,Syndrome4
43,drug,Syndrome4
5644,drug,Syndrome4
5646,drug,Syndrome4
148,drug,Syndrome4
153,drug,Syndrome4
154,drug,Syndrome4
1128,drug,Syndrome4
6256,drug,Syndrome4
6531,drug,Syndrome4
6532,drug,Syndrome4
2554,drug,Syndrome4
147,drug,Syndrome4
146,drug,Syndrome4
1129,drug,Syndrome4
5139,drug,Syndrome4
1131,drug,Syndrome4
5292,drug,Syndrome4
760,drug,Syndrome4
4129,drug,Syndrome4
5742,drug,Syndrome4
6530,drug,Syndrome4
1800,drug,Syndrome4
590,drug,Syndrome4
207,drug,Syndrome4
216,drug,Syndrome4
354,drug,Syndrome4
581,drug,Syndrome4
596,drug,Syndrome4
598,drug,Syndrome4
836,drug,Syndrome4
874,drug,Syndrome4
891,drug,Syndrome4
1026,drug,Syndrome4
1066,drug,Syndrome4
1244,drug,Syndrome4
1432,drug,Syndrome4
1543,drug,Syndrome4
1544,drug,Syndrome4
1576,drug,Syndrome4
1645,drug,Syndrome4
1646,drug,Syndrome4
1647,drug,Syndrome4
1728,drug,Syndrome4
1786,drug,Syndrome4
1789,drug,Syndrome4
2072,drug,Syndrome4
2073,drug,Syndrome4
2078,drug,Syndrome4
2145,drug,Syndrome4
2146,drug,Syndrome4
2697,drug,Syndrome4
2729,drug,Syndrome4
2730,drug,Syndrome4
2936,drug,Syndrome4
2938,drug,Syndrome4
2939,drug,Syndrome4
2940,drug,Syndrome4
2941,drug,Syndrome4
2944,drug,Syndrome4
2950,drug,Syndrome4
3162,drug,Syndrome4
3263,drug,Syndrome4
3320,drug,Syndrome4
3717,drug,Syndrome4
4000,drug,Syndrome4
4255,drug,Syndrome4
4297,drug,Syndrome4
4312,drug,Syndrome4
4313,drug,Syndrome4
4314,drug,Syndrome4
4316,drug,Syndrome4
4317,drug,Syndrome4
4318,drug,Syndrome4
4319,drug,Syndrome4
4320,drug,Syndrome4
4322,drug,Syndrome4
4323,drug,Syndrome4
4324,drug,Syndrome4
4325,drug,Syndrome4
4326,drug,Syndrome4
4327,drug,Syndrome4
4489,drug,Syndrome4
4502,drug,Syndrome4
4779,drug,Syndrome4
4780,drug,Syndrome4
4835,drug,Syndrome4
5594,drug,Syndrome4
5595,drug,Syndrome4
5599,drug,Syndrome4
5966,drug,Syndrome4
5970,drug,Syndrome4
6419,drug,Syndrome4
6647,drug,Syndrome4
6662,drug,Syndrome4
6776,drug,Syndrome4
6777,drug,Syndrome4
6839,drug,Syndrome4
6942,drug,Syndrome4
7099,drug,Syndrome4
7124,drug,Syndrome4
7295,drug,Syndrome4
7296,drug,Syndrome4
7448,drug,Syndrome4
7468,drug,Syndrome4
8511,drug,Syndrome4
8644,drug,Syndrome4
9313,drug,Syndrome4
9536,drug,Syndrome4
9603,drug,Syndrome4
9739,drug,Syndrome4
9757,drug,Syndrome4
9817,drug,Syndrome4
9869,drug,Syndrome4
10013,drug,Syndrome4
10216,drug,Syndrome4
10322,drug,Syndrome4
10397,drug,Syndrome4
10893,drug,Syndrome4
10919,drug,Syndrome4
23067,drug,Syndrome4
25824,drug,Syndrome4
26040,drug,Syndrome4
27306,drug,Syndrome4
29072,drug,Syndrome4
51131,drug,Syndrome4
51533,drug,Syndrome4
54658,drug,Syndrome4
54904,drug,Syndrome4
55870,drug,Syndrome4
55904,drug,Syndrome4
56547,drug,Syndrome4
56950,drug,Syndrome4
57016,drug,Syndrome4
58508,drug,Syndrome4
64066,drug,Syndrome4
64100,drug,Syndrome4
64324,drug,Syndrome4
64386,drug,Syndrome4
79723,drug,Syndrome4
79813,drug,Syndrome4
80854,drug,Syndrome4
83852,drug,Syndrome4
84869,drug,Syndrome4
114826,drug,Syndrome4
118856,drug,Syndrome4
150572,drug,Syndrome4
387893,drug,Syndrome4
100131137,drug,Syndrome4
1956,drug,Syndrome4
3757,drug,Syndrome4
2155,drug,Syndrome4
5468,drug,Syndrome4
890,drug,Syndrome4
2100,drug,Syndrome4
2932,drug,Syndrome4
808,drug,Syndrome4
3500,drug,Syndrome4
8648,drug,Syndrome4
1139,drug,Syndrome4
5569,drug,Syndrome4
4048,drug,Syndrome4
1133,drug,Syndrome4
1812,drug,Syndrome4
1111,drug,Syndrome4
5241,drug,Syndrome4
2908,drug,Syndrome4
31,drug,Syndrome4
248,drug,Syndrome4
324,drug,Syndrome4
331,drug,Syndrome4
486,drug,Syndrome4
572,drug,Syndrome4
595,drug,Syndrome4
842,drug,Syndrome4
862,drug,Syndrome4
894,drug,Syndrome4
959,drug,Syndrome4
1019,drug,Syndrome4
1021,drug,Syndrome4
1029,drug,Syndrome4
1588,drug,Syndrome4
2206,drug,Syndrome4
2208,drug,Syndrome4
2353,drug,Syndrome4
3091,drug,Syndrome4
3383,drug,Syndrome4
3458,drug,Syndrome4
3480,drug,Syndrome4
3558,drug,Syndrome4
3565,drug,Syndrome4
3596,drug,Syndrome4
3630,drug,Syndrome4
3643,drug,Syndrome4
3692,drug,Syndrome4
3725,drug,Syndrome4
4170,drug,Syndrome4
4193,drug,Syndrome4
4792,drug,Syndrome4
4953,drug,Syndrome4
5054,drug,Syndrome4
5328,drug,Syndrome4
5424,drug,Syndrome4
5709,drug,Syndrome4
5925,drug,Syndrome4
6517,drug,Syndrome4
6528,drug,Syndrome4
7157,drug,Syndrome4
7226,drug,Syndrome4
7422,drug,Syndrome4
8517,drug,Syndrome4
8837,drug,Syndrome4
9521,drug,Syndrome4
10197,drug,Syndrome4
10449,drug,Syndrome4
10598,drug,Syndrome4
29880,drug,Syndrome4
51191,drug,Syndrome4
54205,drug,Syndrome4
79719,drug,Syndrome4
983,drug,Syndrome4
2891,drug,Syndrome4
6258,drug,Syndrome4
18,drug,Syndrome4
2628,drug,Syndrome4
2280,drug,Syndrome4
30814,drug,Syndrome4
6714,drug,Syndrome4
2033,drug,Syndrome4
2168,drug,Syndrome4
3576,drug,Syndrome4
5465,drug,Syndrome4
5948,drug,Syndrome4
5319,drug,Syndrome4
25,drug,Syndrome4
49,drug,Syndrome4
51,drug,Syndrome4
142,drug,Syndrome4
213,drug,Syndrome4
240,drug,Syndrome4
284,drug,Syndrome4
285,drug,Syndrome4
317,drug,Syndrome4
329,drug,Syndrome4
332,drug,Syndrome4
355,drug,Syndrome4
467,drug,Syndrome4
468,drug,Syndrome4
472,drug,Syndrome4
566,drug,Syndrome4
578,drug,Syndrome4
623,drug,Syndrome4
629,drug,Syndrome4
637,drug,Syndrome4
663,drug,Syndrome4
664,drug,Syndrome4
665,drug,Syndrome4
716,drug,Syndrome4
717,drug,Syndrome4
796,drug,Syndrome4
797,drug,Syndrome4
837,drug,Syndrome4
840,drug,Syndrome4
841,drug,Syndrome4
875,drug,Syndrome4
885,drug,Syndrome4
1027,drug,Syndrome4
1072,drug,Syndrome4
1215,drug,Syndrome4
1374,drug,Syndrome4
1385,drug,Syndrome4
1504,drug,Syndrome4
1506,drug,Syndrome4
1511,drug,Syndrome4
1557,drug,Syndrome4
1559,drug,Syndrome4
1565,drug,Syndrome4
1649,drug,Syndrome4
1675,drug,Syndrome4
1676,drug,Syndrome4
1869,drug,Syndrome4
1874,drug,Syndrome4
1906,drug,Syndrome4
1990,drug,Syndrome4
1991,drug,Syndrome4
2057,drug,Syndrome4
2064,drug,Syndrome4
2081,drug,Syndrome4
2147,drug,Syndrome4
2150,drug,Syndrome4
2158,drug,Syndrome4
2159,drug,Syndrome4
2160,drug,Syndrome4
2161,drug,Syndrome4
2167,drug,Syndrome4
2171,drug,Syndrome4
2181,drug,Syndrome4
2194,drug,Syndrome4
2520,drug,Syndrome4
2596,drug,Syndrome4
2597,drug,Syndrome4
2623,drug,Syndrome4
2641,drug,Syndrome4
2670,drug,Syndrome4
2746,drug,Syndrome4
2752,drug,Syndrome4
2993,drug,Syndrome4
2999,drug,Syndrome4
3001,drug,Syndrome4
3002,drug,Syndrome4
3003,drug,Syndrome4
3004,drug,Syndrome4
3026,drug,Syndrome4
3043,drug,Syndrome4
3082,drug,Syndrome4
3083,drug,Syndrome4
3169,drug,Syndrome4
3240,drug,Syndrome4
3249,drug,Syndrome4
3250,drug,Syndrome4
3265,drug,Syndrome4
3284,drug,Syndrome4
3309,drug,Syndrome4
3426,drug,Syndrome4
3479,drug,Syndrome4
3484,drug,Syndrome4
3569,drug,Syndrome4
3593,drug,Syndrome4
3716,drug,Syndrome4
3726,drug,Syndrome4
3816,drug,Syndrome4
3817,drug,Syndrome4
3818,drug,Syndrome4
3956,drug,Syndrome4
4018,drug,Syndrome4
4057,drug,Syndrome4
4133,drug,Syndrome4
4485,drug,Syndrome4
4552,drug,Syndrome4
4609,drug,Syndrome4
4842,drug,Syndrome4
4846,drug,Syndrome4
4864,drug,Syndrome4
5236,drug,Syndrome4
5243,drug,Syndrome4
5315,drug,Syndrome4
