Gene,SetType,DiseaseType
1128,drug,Syndrome3
5644,drug,Syndrome3
1129,drug,Syndrome3
6307,drug,Syndrome3
10826,drug,Syndrome3
367,drug,Syndrome3
2099,drug,Syndrome3
808,drug,Syndrome3
5742,drug,Syndrome3
5743,drug,Syndrome3
1432,drug,Syndrome3
1017,drug,Syndrome3
890,drug,Syndrome3
1800,drug,Syndrome3
5292,drug,Syndrome3
2100,drug,Syndrome3
5468,drug,Syndrome3
1803,drug,Syndrome3
10499,drug,Syndrome3
2932,drug,Syndrome3
760,drug,Syndrome3
4843,drug,Syndrome3
4306,drug,Syndrome3
5241,drug,Syndrome3
2908,drug,Syndrome3
3242,drug,Syndrome3
84842,drug,Syndrome3
8648,drug,Syndrome3
40,drug,Syndrome3
41,drug,Syndrome3
58,drug,Syndrome3
59,drug,Syndrome3
60,drug,Syndrome3
70,drug,Syndrome3
71,drug,Syndrome3
72,drug,Syndrome3
86,drug,Syndrome3
100,drug,Syndrome3
103,drug,Syndrome3
104,drug,Syndrome3
105,drug,Syndrome3
132,drug,Syndrome3
134,drug,Syndrome3
135,drug,Syndrome3
136,drug,Syndrome3
153,drug,Syndrome3
154,drug,Syndrome3
155,drug,Syndrome3
191,drug,Syndrome3
259,drug,Syndrome3
593,drug,Syndrome3
834,drug,Syndrome3
836,drug,Syndrome3
973,drug,Syndrome3
1385,drug,Syndrome3
1644,drug,Syndrome3
1906,drug,Syndrome3
2056,drug,Syndrome3
2152,drug,Syndrome3
2252,drug,Syndrome3
2335,drug,Syndrome3
2353,drug,Syndrome3
2534,drug,Syndrome3
2641,drug,Syndrome3
3060,drug,Syndrome3
3091,drug,Syndrome3
3105,drug,Syndrome3
3106,drug,Syndrome3
3107,drug,Syndrome3
3134,drug,Syndrome3
3135,drug,Syndrome3
3140,drug,Syndrome3
3162,drug,Syndrome3
3184,drug,Syndrome3
3512,drug,Syndrome3
3569,drug,Syndrome3
3576,drug,Syndrome3
3586,drug,Syndrome3
3592,drug,Syndrome3
3593,drug,Syndrome3
3596,drug,Syndrome3
3783,drug,Syndrome3
4312,drug,Syndrome3
4318,drug,Syndrome3
4842,drug,Syndrome3
4846,drug,Syndrome3
5020,drug,Syndrome3
5028,drug,Syndrome3
5032,drug,Syndrome3
5879,drug,Syndrome3
5881,drug,Syndrome3
5972,drug,Syndrome3
6337,drug,Syndrome3
6338,drug,Syndrome3
6339,drug,Syndrome3
6340,drug,Syndrome3
6376,drug,Syndrome3
6528,drug,Syndrome3
6532,drug,Syndrome3
7124,drug,Syndrome3
7299,drug,Syndrome3
7422,drug,Syndrome3
8877,drug,Syndrome3
8884,drug,Syndrome3
9311,drug,Syndrome3
10096,drug,Syndrome3
10097,drug,Syndrome3
10120,drug,Syndrome3
10121,drug,Syndrome3
10396,drug,Syndrome3
10880,drug,Syndrome3
10881,drug,Syndrome3
23038,drug,Syndrome3
51412,drug,Syndrome3
51738,drug,Syndrome3
51802,drug,Syndrome3
51816,drug,Syndrome3
55515,drug,Syndrome3
55860,drug,Syndrome3
57180,drug,Syndrome3
60482,drug,Syndrome3
81569,drug,Syndrome3
84517,drug,Syndrome3
93973,drug,Syndrome3
139741,drug,Syndrome3
140625,drug,Syndrome3
159963,drug,Syndrome3
160728,drug,Syndrome3
161823,drug,Syndrome3
170487,drug,Syndrome3
284382,drug,Syndrome3
345651,drug,Syndrome3
445582,drug,Syndrome3
653269,drug,Syndrome3
653781,drug,Syndrome3
653857,drug,Syndrome3
31,drug,Syndrome3
207,drug,Syndrome3
248,drug,Syndrome3
324,drug,Syndrome3
331,drug,Syndrome3
486,drug,Syndrome3
572,drug,Syndrome3
581,drug,Syndrome3
595,drug,Syndrome3
596,drug,Syndrome3
598,drug,Syndrome3
842,drug,Syndrome3
862,drug,Syndrome3
891,drug,Syndrome3
894,drug,Syndrome3
959,drug,Syndrome3
1019,drug,Syndrome3
1021,drug,Syndrome3
1026,drug,Syndrome3
1029,drug,Syndrome3
1588,drug,Syndrome3
2206,drug,Syndrome3
2208,drug,Syndrome3
3383,drug,Syndrome3
3458,drug,Syndrome3
3480,drug,Syndrome3
3558,drug,Syndrome3
3565,drug,Syndrome3
3630,drug,Syndrome3
3643,drug,Syndrome3
3692,drug,Syndrome3
3725,drug,Syndrome3
4170,drug,Syndrome3
4193,drug,Syndrome3
4792,drug,Syndrome3
4953,drug,Syndrome3
5054,drug,Syndrome3
5328,drug,Syndrome3
5424,drug,Syndrome3
5709,drug,Syndrome3
5925,drug,Syndrome3
5970,drug,Syndrome3
6331,drug,Syndrome3
6517,drug,Syndrome3
7157,drug,Syndrome3
7226,drug,Syndrome3
8517,drug,Syndrome3
8644,drug,Syndrome3
8837,drug,Syndrome3
9521,drug,Syndrome3
10197,drug,Syndrome3
10449,drug,Syndrome3
10598,drug,Syndrome3
29880,drug,Syndrome3
51191,drug,Syndrome3
54205,drug,Syndrome3
79719,drug,Syndrome3
2155,drug,Syndrome3
983,drug,Syndrome3
1111,drug,Syndrome3
1135,drug,Syndrome3
2554,drug,Syndrome3
43,drug,Syndrome3
841,drug,Syndrome3
4133,drug,Syndrome3
5444,drug,Syndrome3
5578,drug,Syndrome3
7040,drug,Syndrome3
1132,drug,Syndrome3
1812,drug,Syndrome3
1139,drug,Syndrome3
1131,drug,Syndrome3
5139,drug,Syndrome3
4988,drug,Syndrome3
147,drug,Syndrome3
3757,drug,Syndrome3
146,drug,Syndrome3
847,drug,Syndrome3
3037,drug,Syndrome3
6256,drug,Syndrome3
4128,drug,Syndrome3
4129,drug,Syndrome3
1504,drug,Syndrome3
4313,drug,Syndrome3
6530,drug,Syndrome3
6531,drug,Syndrome3
4069,drug,Syndrome3
5646,drug,Syndrome3
3500,drug,Syndrome3
7442,drug,Syndrome3
2891,drug,Syndrome3
18,drug,Syndrome3
590,drug,Syndrome3
1509,drug,Syndrome3
2805,drug,Syndrome3
7167,drug,Syndrome3
2806,drug,Syndrome3
4200,drug,Syndrome3
6714,drug,Syndrome3
189,drug,Syndrome3
1543,drug,Syndrome3
1843,drug,Syndrome3
6258,drug,Syndrome3
108,drug,Syndrome3
332,drug,Syndrome3
351,drug,Syndrome3
840,drug,Syndrome3
1956,drug,Syndrome3
2064,drug,Syndrome3
2950,drug,Syndrome3
4233,drug,Syndrome3
5111,drug,Syndrome3
5594,drug,Syndrome3
5595,drug,Syndrome3
7150,drug,Syndrome3
7153,drug,Syndrome3
7498,drug,Syndrome3
9536,drug,Syndrome3
83540,drug,Syndrome3
627,drug,Syndrome3
885,drug,Syndrome3
1071,drug,Syndrome3
1401,drug,Syndrome3
2028,drug,Syndrome3
2168,drug,Syndrome3
2596,drug,Syndrome3
3156,drug,Syndrome3
3651,drug,Syndrome3
4023,drug,Syndrome3
4353,drug,Syndrome3
4435,drug,Syndrome3
4915,drug,Syndrome3
5066,drug,Syndrome3
5340,drug,Syndrome3
5465,drug,Syndrome3
5467,drug,Syndrome3
5697,drug,Syndrome3
5948,drug,Syndrome3
6319,drug,Syndrome3
6514,drug,Syndrome3
6646,drug,Syndrome3
6647,drug,Syndrome3
7011,drug,Syndrome3
7351,drug,Syndrome3
7352,drug,Syndrome3
23549,drug,Syndrome3
118429,drug,Syndrome3
4985,drug,Syndrome3
124,drug,Syndrome3
6257,drug,Syndrome3
6010,drug,Syndrome3
148,drug,Syndrome3
210,drug,Syndrome3
231,drug,Syndrome3
278,drug,Syndrome3
279,drug,Syndrome3
1116,drug,Syndrome3
1277,drug,Syndrome3
1294,drug,Syndrome3
1544,drug,Syndrome3
2180,drug,Syndrome3
2182,drug,Syndrome3
2355,drug,Syndrome3
2752,drug,Syndrome3
3098,drug,Syndrome3
3938,drug,Syndrome3
6476,drug,Syndrome3
6720,drug,Syndrome3
6721,drug,Syndrome3
9970,drug,Syndrome3
3455,drug,Syndrome3
5320,drug,Syndrome3
1266,drug,Syndrome3
240,drug,Syndrome3
2304,drug,Syndrome3
7038,drug,Syndrome3
7080,drug,Syndrome3
7173,drug,Syndrome3
7253,drug,Syndrome3
7849,drug,Syndrome3
29080,drug,Syndrome3
5319,drug,Syndrome3
