Gene,SetType,DiseaseType
43,drug,Syndrome5
5644,drug,Syndrome5
2554,drug,Syndrome5
1718,drug,Syndrome5
8443,drug,Syndrome5
8540,drug,Syndrome5
55711,drug,Syndrome5
84188,drug,Syndrome5
197257,drug,Syndrome5
728294,drug,Syndrome5
367,drug,Syndrome5
4306,drug,Syndrome5
2099,drug,Syndrome5
760,drug,Syndrome5
154,drug,Syndrome5
1128,drug,Syndrome5
4129,drug,Syndrome5
5742,drug,Syndrome5
5743,drug,Syndrome5
6530,drug,Syndrome5
6532,drug,Syndrome5
5468,drug,Syndrome5
4843,drug,Syndrome5
1800,drug,Syndrome5
1017,drug,Syndrome5
1803,drug,Syndrome5
151,drug,Syndrome5
1509,drug,Syndrome5
1188,drug,Syndrome5
1558,drug,Syndrome5
1576,drug,Syndrome5
2944,drug,Syndrome5
2950,drug,Syndrome5
7124,drug,Syndrome5
8645,drug,Syndrome5
4069,drug,Syndrome5
6256,drug,Syndrome5
5292,drug,Syndrome5
6331,drug,Syndrome5
1139,drug,Syndrome5
2100,drug,Syndrome5
4988,drug,Syndrome5
5139,drug,Syndrome5
2932,drug,Syndrome5
147,drug,Syndrome5
1812,drug,Syndrome5
146,drug,Syndrome5
890,drug,Syndrome5
1129,drug,Syndrome5
2908,drug,Syndrome5
1131,drug,Syndrome5
4860,drug,Syndrome5
10768,drug,Syndrome5
6531,drug,Syndrome5
10499,drug,Syndrome5
3569,drug,Syndrome5
329,drug,Syndrome5
581,drug,Syndrome5
596,drug,Syndrome5
836,drug,Syndrome5
842,drug,Syndrome5
1543,drug,Syndrome5
3383,drug,Syndrome5
399665,drug,Syndrome5
4128,drug,Syndrome5
30814,drug,Syndrome5
1135,drug,Syndrome5
387,drug,Syndrome5
862,drug,Syndrome5
891,drug,Syndrome5
1026,drug,Syndrome5
3692,drug,Syndrome5
5424,drug,Syndrome5
5925,drug,Syndrome5
7011,drug,Syndrome5
7157,drug,Syndrome5
983,drug,Syndrome5
841,drug,Syndrome5
3725,drug,Syndrome5
4133,drug,Syndrome5
5444,drug,Syndrome5
5578,drug,Syndrome5
7040,drug,Syndrome5
1132,drug,Syndrome5
5241,drug,Syndrome5
1111,drug,Syndrome5
1432,drug,Syndrome5
3757,drug,Syndrome5
18,drug,Syndrome5
590,drug,Syndrome5
2628,drug,Syndrome5
5646,drug,Syndrome5
2280,drug,Syndrome5
6714,drug,Syndrome5
2891,drug,Syndrome5
808,drug,Syndrome5
124,drug,Syndrome5
125,drug,Syndrome5
127,drug,Syndrome5
128,drug,Syndrome5
130,drug,Syndrome5
131,drug,Syndrome5
627,drug,Syndrome5
635,drug,Syndrome5
1103,drug,Syndrome5
1119,drug,Syndrome5
1120,drug,Syndrome5
2641,drug,Syndrome5
2903,drug,Syndrome5
5130,drug,Syndrome5
5337,drug,Syndrome5
5338,drug,Syndrome5
5972,drug,Syndrome5
6275,drug,Syndrome5
6528,drug,Syndrome5
6580,drug,Syndrome5
6582,drug,Syndrome5
6839,drug,Syndrome5
8884,drug,Syndrome5
9468,drug,Syndrome5
9791,drug,Syndrome5
9976,drug,Syndrome5
10891,drug,Syndrome5
23446,drug,Syndrome5
23646,drug,Syndrome5
55224,drug,Syndrome5
55349,drug,Syndrome5
55500,drug,Syndrome5
56261,drug,Syndrome5
57153,drug,Syndrome5
60482,drug,Syndrome5
122618,drug,Syndrome5
126969,drug,Syndrome5
159963,drug,Syndrome5
160728,drug,Syndrome5
162466,drug,Syndrome5
201164,drug,Syndrome5
204962,drug,Syndrome5
386593,drug,Syndrome5
1544,drug,Syndrome5
148,drug,Syndrome5
150,drug,Syndrome5
9,drug,Syndrome5
59,drug,Syndrome5
142,drug,Syndrome5
196,drug,Syndrome5
207,drug,Syndrome5
213,drug,Syndrome5
248,drug,Syndrome5
284,drug,Syndrome5
331,drug,Syndrome5
332,drug,Syndrome5
351,drug,Syndrome5
572,drug,Syndrome5
578,drug,Syndrome5
595,drug,Syndrome5
598,drug,Syndrome5
695,drug,Syndrome5
840,drug,Syndrome5
857,drug,Syndrome5
896,drug,Syndrome5
940,drug,Syndrome5
941,drug,Syndrome5
1009,drug,Syndrome5
1051,drug,Syndrome5
1147,drug,Syndrome5
1277,drug,Syndrome5
1493,drug,Syndrome5
1565,drug,Syndrome5
1677,drug,Syndrome5
1839,drug,Syndrome5
1893,drug,Syndrome5
1956,drug,Syndrome5
1958,drug,Syndrome5
2033,drug,Syndrome5
2113,drug,Syndrome5
2152,drug,Syndrome5
2194,drug,Syndrome5
2247,drug,Syndrome5
2353,drug,Syndrome5
2645,drug,Syndrome5
